trail,poi_name,category,lat,lon,match_status,matched_osm_id,matched_osm_url,distance_m,tag_diff,proposal_note
Gudbrandsdalsleden,Aaraas Pilegrimsherberge,Pilegrimsherberge | Teltplass,59.9893932,10.9769382,matched,node/6812447357,https://www.openstreetmap.org/node/6812447357,11.1,+hostel:type=pilgrim; name:Aaraas Pilegrimsherberge->Aaraastunet; tourism:hostel->guest_house,
Gudbrandsdalsleden,Bergmannshuset,Vandrerhjem,63.1242870,9.7045620,matched,node/6817588285,https://www.openstreetmap.org/node/6817588285,6.8,name:Bergmannshuset->Bergmannskroa; tourism:hostel->guest_house,
Gudbrandsdalsleden,Brøttum Camping,Campingplass | Rom og hytter | Teltplass,61.0245197,10.5536841,matched,way/751244262,https://www.openstreetmap.org/way/751244262,10.2,tourism:chalet->camp_site,
Gudbrandsdalsleden,Budsjord historisk gard,Vandrerhjem,62.0158705,9.2236515,matched,node/6808271323,https://www.openstreetmap.org/node/6808271323,8.9,name:Budsjord historisk gard->Pilgrimsgården Busjord; tourism:hostel->guest_house,
Gudbrandsdalsleden,Bunks at Rode,Pilegrimsherberge | Vandrerhjem,59.9273939,10.7668296,matched,node/2790244101,https://www.openstreetmap.org/node/2790244101,8.7,+hostel:type=pilgrim,
Gudbrandsdalsleden,Bærum gapahuk,Gapahuk,59.9429920,10.5565670,matched,node/563386752,https://www.openstreetmap.org/node/563386752,4.1,name:Bærum gapahuk->Løvehulen; +shelter_type=lean_to,
Gudbrandsdalsleden,Dovrefjell Lodge (Furuhaugli),Vandrerhjem | Rom og hytter | Teltplass,62.1535067,9.3706512,matched,node/3663314978,https://www.openstreetmap.org/node/3663314978,19.1,name:Dovrefjell Lodge (Furuhaugli)->Furuhaugli Turisthytter; tourism:hostel->camp_site,
Gudbrandsdalsleden,Dovreskogen camping,Rom og hytter | Teltplass,61.9286771,9.3168783,matched,way/299738523,https://www.openstreetmap.org/way/299738523,49.7,name:Dovreskogen camping->Dovreskogen Camping; tourism:chalet->camp_site,
Gudbrandsdalsleden,Dovreskogen Gjestegård,Vandrerhjem | Teltplass,61.9118008,9.3607324,matched,node/203142757,https://www.openstreetmap.org/node/203142757,53.7,name:Dovreskogen Gjestegård->Dovreskogen gjestegård; tourism:hostel->guest_house,
Gudbrandsdalsleden,Elgsjøhytta (for grupper),Rom og hytter,62.3790904,9.7729082,matched,way/905422766,https://www.openstreetmap.org/way/905422766,0.5,name:Elgsjøhytta (for grupper)->Elgsjøhytta,
Gudbrandsdalsleden,Elstad Camping,Pilegrimsherberge | Campingplass,61.5015144,10.1689251,matched,node/3663314586,https://www.openstreetmap.org/node/3663314586,24.0,+hostel:type=pilgrim; tourism:hostel->camp_site,
Gudbrandsdalsleden,ELSTAD CAMPING - I VAKRE OMGIVELSER VED GUDBRANDSDALSLÅGEN,Pilegrimsherberge | Campingplass,61.5015145,10.1688644,matched,node/3663314586,https://www.openstreetmap.org/node/3663314586,24.7,+hostel:type=pilgrim; name:ELSTAD CAMPING - I VAKRE OMGIVELSER VED GUDBRANDSDALSLÅGEN->Elstad Camping; tourism:hostel->camp_site,
Gudbrandsdalsleden,Fjetre gård - midelrtidig stengt,Pilegrimsherberge,60.7621526,11.0896601,matched,node/6800398116,https://www.openstreetmap.org/node/6800398116,28.8,+hostel:type=pilgrim; name:Fjetre gård - midelrtidig stengt->Fjetre gård; tourism:hostel->chalet,
Gudbrandsdalsleden,Fokstugu Fjellstue,Vandrerhjem,62.1140805,9.2871092,matched,way/298217058,https://www.openstreetmap.org/way/298217058,24.8,name:Fokstugu Fjellstue->Fokstugu fjellstue; tourism:hostel->chalet,
Gudbrandsdalsleden,Furuodden Camping,Campingplass | Rom og hytter | Teltplass,61.0224513,10.4576106,matched,way/1192395517,https://www.openstreetmap.org/way/1192395517,63.3,tourism:chalet->camp_site,
Gudbrandsdalsleden,Gapahuk Frya,Gapahuk,61.5511860,10.0430918,matched,node/9889573297,https://www.openstreetmap.org/node/9889573297,18.1,+name=Gapahuk Frya,
Gudbrandsdalsleden,Gapahuk i Furuberget,Gapahuk,60.8180334,11.0204029,matched,way/315143760,https://www.openstreetmap.org/way/315143760,14.3,+name=Gapahuk i Furuberget,
Gudbrandsdalsleden,Gapahuk på Snøton,Gapahuk,63.1879637,9.8919895,matched,way/484698873,https://www.openstreetmap.org/way/484698873,4.6,+name=Gapahuk på Snøton,
Gudbrandsdalsleden,Gapahuk ved Hjerkindammen,Gapahuk,62.2149902,9.5783620,matched,way/1538490680,https://www.openstreetmap.org/way/1538490680,52.7,name:Gapahuk ved Hjerkindammen->Gapahuk,
