trail,poi_name,category,lat,lon,url
Gudbrandsdalsleden,Langøyene camping,Teltplass,59.8712779,10.7156181,https://www.pilegrimsleden.no/interessepunkter/langoyene-camping
Gudbrandsdalsleden,Lavo og utedo ved Stormyra,Gapahuk,63.2760723,10.1065542,https://www.pilegrimsleden.no/interessepunkter/lavo-og-utedo-ved-stormyra
Gudbrandsdalsleden,Lerfald gård,Pilegrimsherberge,63.3451867,10.2539145,https://www.pilegrimsleden.no/interessepunkter/lerfald-gard
Gudbrandsdalsleden,Lian Gård Pilegrimsherberge,Pilegrimsherberge,63.4026594,10.3098965,https://www.pilegrimsleden.no/interessepunkter/lian-gard
Gudbrandsdalsleden,Lillehammer Vandrerhjem Stasjonen,Vandrerhjem,61.1146500,10.4614950,https://www.pilegrimsleden.no/interessepunkter/lillehammer-vandrerhjem-stasjonen
Gudbrandsdalsleden,Ljoshaugen camping,Campingplass,62.0707621,9.1316986,https://www.pilegrimsleden.no/interessepunkter/ljoshaugen-camping
Gudbrandsdalsleden,Lygnasæter,Rom og hytter,60.4550924,10.6444572,https://www.pilegrimsleden.no/interessepunkter/lygnasaeter-hotel
Gudbrandsdalsleden,Lysjøhimet,Rom og hytter,60.4573308,11.2933901,https://www.pilegrimsleden.no/interessepunkter/lysjohimet
Gudbrandsdalsleden,Mageli Camping og Hytter,Campingplass,61.3669040,10.2833430,https://www.pilegrimsleden.no/interessepunkter/mageli-camping-og-hytter
Gudbrandsdalsleden,Majer Gård,Pilegrimsherberge | Rom og hytter,60.6609649,10.8388936,https://www.pilegrimsleden.no/interessepunkter/majer-gard
Gudbrandsdalsleden,Majors-Alm Gård,Pilegrimsherberge | Teltplass,60.3875078,10.5189660,https://www.pilegrimsleden.no/interessepunkter/steinkjelleren
Gudbrandsdalsleden,Meslo Herberge,Pilegrimsherberge,62.8476947,9.8826163,https://www.pilegrimsleden.no/interessepunkter/meslo-herberge
Gudbrandsdalsleden,Mjuklia - overnatting på Berkåk,Vandrerhjem,62.8342780,10.0009920,https://www.pilegrimsleden.no/interessepunkter/mjuklia-overnatting-i-rennebu
Gudbrandsdalsleden,Mjøsli - glamping eller hytter,Rom og hytter,60.4977427,11.2544911,https://www.pilegrimsleden.no/interessepunkter/mjosli-glamping-eller-hytter
Gudbrandsdalsleden,Myhrer gård,Campingplass | Teltplass,60.0089063,11.1136062,https://www.pilegrimsleden.no/interessepunkter/myhrer-gard
Gudbrandsdalsleden,Ner-Grefstad gard,Pilegrimsherberge,63.0465912,9.7109163,https://www.pilegrimsleden.no/interessepunkter/ner-grefstad-gard
Gudbrandsdalsleden,Nermo Herberge - idyllisk herberge tilknyttet Nermo Hotell i Øyer,Pilegrimsherberge,61.2441965,10.4577559,https://www.pilegrimsleden.no/interessepunkter/nermo-herberge-idyllisk-herberge-tilknyttet-nermo-hotell-i-oyer
Gudbrandsdalsleden,Nordre Helgaker Gård,Pilegrimsherberge | Rom og hytter | Teltplass,60.3798709,10.5356257,https://www.pilegrimsleden.no/interessepunkter/nordre-helgaker-gard
Gudbrandsdalsleden,Nordrum Gård,Pilegrimsherberge,61.4540748,10.2139943,https://www.pilegrimsleden.no/interessepunkter/nordrum-gard
Gudbrandsdalsleden,Nørgar Voll,Pilegrimsherberge,62.8719012,9.8428057,https://www.pilegrimsleden.no/interessepunkter/norgar-voll
Gudbrandsdalsleden,Odin Camping,Campingplass | Rom og hytter | Teltplass,60.0953436,10.1838112,https://www.pilegrimsleden.no/interessepunkter/camping-med-bademuligheter-ved-tyrifjorden
Gudbrandsdalsleden,Olskastet,Pilegrimsherberge | Rom og hytter,63.0779090,9.6955974,https://www.pilegrimsleden.no/interessepunkter/olskastet
Gudbrandsdalsleden,Onsakervika Camping,Campingplass | Rom og hytter | Teltplass,60.0945694,10.1806443,https://www.pilegrimsleden.no/interessepunkter/onsakervika-camping
Gudbrandsdalsleden,Oppdalsporten,Pilegrimsherberge | Teltplass,62.6570070,9.8811290,https://www.pilegrimsleden.no/interessepunkter/oppdalsporten
Gudbrandsdalsleden,Orkla Gjestebolig,Pilegrimsherberge,63.1247456,9.7031509,https://www.pilegrimsleden.no/interessepunkter/orkla-gjestebolig
Gudbrandsdalsleden,Oslo Vandrerhjem Haraldsheim,Pilegrimsherberge,59.9410840,10.7888320,https://www.pilegrimsleden.no/interessepunkter/oslo-vandrerhjem-haraldsheim
Gudbrandsdalsleden,Pilegrimsbua ved Granerud,Gapahuk | Pilegrimsbu,60.4832465,11.3158076,https://www.pilegrimsleden.no/interessepunkter/pilegrimsbu
Gudbrandsdalsleden,Pilegrimssenter Dale-Gudbrand,Pilegrimsherberge,61.5485334,9.9665523,https://www.pilegrimsleden.no/interessepunkter/pilegrimssenter-dale-gudbrands-gard
Gudbrandsdalsleden,Pilegrimssenter Granavollen,Teltplass | Rasteplass,60.3673312,10.5283785,https://www.pilegrimsleden.no/interessepunkter/pilegrimssenter-granavollen
Gudbrandsdalsleden,Plassastoggo,Rom og hytter | Teltplass,62.5309052,9.6283373,https://www.pilegrimsleden.no/interessepunkter/plasstoggo
Gudbrandsdalsleden,Rastebu Falang Bru,Rasteplass,60.3411174,10.4593363,https://www.pilegrimsleden.no/interessepunkter/rastebu-falang-bru
Gudbrandsdalsleden,Rastebu Granavollen,Rasteplass,60.3674628,10.5286081,https://www.pilegrimsleden.no/interessepunkter/rastebu-granavollen
Gudbrandsdalsleden,Rastebu Høgkorset,Rasteplass,60.4725788,10.5811386,https://www.pilegrimsleden.no/interessepunkter/rastebu-hogkorset
Gudbrandsdalsleden,Rastebu Kjølvegen,Rasteplass,60.4526130,10.5490723,https://www.pilegrimsleden.no/interessepunkter/rastebu-kjolvegen
Gudbrandsdalsleden,Rastebu Sognstoppen,Rasteplass,60.3067670,10.4197383,https://www.pilegrimsleden.no/interessepunkter/rastebu-sognstoppen
Gudbrandsdalsleden,Risebru Pilegrimsherberge,Pilegrimsherberge,60.2377458,11.1701499,https://www.pilegrimsleden.no/interessepunkter/risebru-pilegrimsherberge
Gudbrandsdalsleden,Rudsødegården,Pilegrimsherberge | Rom og hytter,60.3289852,10.4560345,https://www.pilegrimsleden.no/interessepunkter/rudsodegarden
Gudbrandsdalsleden,Ry Gjestegård,Rom og hytter | Teltplass,62.9226962,9.7901916,https://www.pilegrimsleden.no/interessepunkter/ry-herberge
Gudbrandsdalsleden,Ryphusan,Pilegrimsherberge | Rom og hytter | Teltplass,62.4209662,9.7025165,https://www.pilegrimsleden.no/interessepunkter/ryphusan
