trail,poi_name,category,lat,lon,address,match_status,matched_osm_id,matched_osm_url,matched_osm_name,distance_m,tag_diff
Gudbrandsdalsleden,Elgsjøhytta (for grupper),Overnatting | Rom og hytter,62.3790904,9.7729082,"Vinstradalsvegen 1772, 7345 Drivdalen",matched,way/905422766,https://www.openstreetmap.org/way/905422766,Elgsjøhytta,0.5,name:Elgsjøhytta (for grupper)->Elgsjøhytta
Gudbrandsdalsleden,Elstad Camping,Overnatting | Pilegrimsherberge | Campingplass,61.5015144,10.1689251,"Gudbrandsdalsvegen 1660, 2630 Ringebu",matched,node/3663314586,https://www.openstreetmap.org/node/3663314586,Elstad Camping,24.0,+hostel:type=pilgrim; tourism:hostel->camp_site
Gudbrandsdalsleden,ELSTAD CAMPING - I VAKRE OMGIVELSER VED GUDBRANDSDALSLÅGEN,Overnatting | Pilegrimsherberge | Campingplass,61.5015145,10.1688644,,matched,node/3663314586,https://www.openstreetmap.org/node/3663314586,Elstad Camping,24.7,+hostel:type=pilgrim; name:ELSTAD CAMPING - I VAKRE OMGIVELSER VED GUDBRANDSDALSLÅGEN->Elstad Camping; tourism:hostel->camp_site
Gudbrandsdalsleden,Fjetre gård - midelrtidig stengt,Overnatting | Pilegrimsherberge,60.7621526,11.0896601,"Sandvikavegen 185, 2312 Ottestad",matched,node/6800398116,https://www.openstreetmap.org/node/6800398116,Fjetre gård,28.8,+hostel:type=pilgrim; name:Fjetre gård - midelrtidig stengt->Fjetre gård; tourism:hostel->chalet
Gudbrandsdalsleden,Fokstugu Fjellstue,Overnatting | Vandrerhjem,62.1140805,9.2871092,"Trondheimsvegen 1050, N-2660 Dombås",matched,way/298217058,https://www.openstreetmap.org/way/298217058,Fokstugu fjellstue,24.8,name:Fokstugu Fjellstue->Fokstugu fjellstue; tourism:hostel->chalet
Gudbrandsdalsleden,Furuodden Camping,Overnatting | Campingplass | Rom og hytter | Teltplass,61.0224513,10.4576106,"Biristrandvegen 855, 2837 Biristrand",matched,way/1192395517,https://www.openstreetmap.org/way/1192395517,Furuodden Camping,63.3,tourism:chalet->camp_site
Gudbrandsdalsleden,Gapahuk Frya,Gapahuk,61.5511860,10.0430918,,matched,node/9889573297,https://www.openstreetmap.org/node/9889573297,,18.1,+name=Gapahuk Frya
Gudbrandsdalsleden,Gapahuk i Furuberget,Gapahuk,60.8180334,11.0204029,,matched,way/315143760,https://www.openstreetmap.org/way/315143760,,14.3,+name=Gapahuk i Furuberget
Gudbrandsdalsleden,Gapahuk på Snøton,Gapahuk,63.1879637,9.8919895,,matched,way/484698873,https://www.openstreetmap.org/way/484698873,,4.6,+name=Gapahuk på Snøton
Gudbrandsdalsleden,Gapahuk ved Hjerkindammen,Gapahuk,62.2149902,9.5783620,,matched,way/1538490680,https://www.openstreetmap.org/way/1538490680,Gapahuk,52.7,name:Gapahuk ved Hjerkindammen->Gapahuk
Gudbrandsdalsleden,Gapahuk ved Honerud Gård,Overnatting | Teltplass | Gapahuk,60.1948610,10.3523226,"Honerud gård, 3520 Jevnaker",matched,node/13946282701,https://www.openstreetmap.org/node/13946282701,,19.6,+name=Gapahuk ved Honerud Gård; +shelter_type=lean_to
Gudbrandsdalsleden,Gapahuk ved Nordsveodden i Ottestad,Gapahuk,60.7691810,11.0742694,,matched,node/10857479543,https://www.openstreetmap.org/node/10857479543,,14.2,+name=Gapahuk ved Nordsveodden i Ottestad
Gudbrandsdalsleden,"Gapahuken ""Kjerringfred""",Gapahuk,59.9590930,10.9450000,,matched,node/937852318,https://www.openstreetmap.org/node/937852318,Kjerringfred,40.3,"name:Gapahuken ""Kjerringfred""->Kjerringfred"
Gudbrandsdalsleden,Gildesvollen Pilegrimsherberge - overnatting på en historisk plass,Overnatting | Pilegrimsherberge,61.5090688,10.1698167,,matched,way/708001653,https://www.openstreetmap.org/way/708001653,Gildesvollen,20.0,+hostel:type=pilgrim; name:Gildesvollen Pilegrimsherberge - overnatting på en historisk plass->Gildesvollen
Gudbrandsdalsleden,Gjesteheim Havdal,Overnatting | Vandrerhjem,62.7641548,9.9697226,"Rennebuskogen 371, 7397 Rennebu",matched,way/454068583,https://www.openstreetmap.org/way/454068583,Gjesteheim Havdal,7.2,tourism:hostel->guest_house
Gudbrandsdalsleden,Gjøvik Vandrerhjem Hovdetun,Overnatting | Pilegrimsherberge | Vandrerhjem | Rom og hytter,60.7976461,10.6716295,"Parkveien 8, 2819 Gjøvik",matched,node/1478834689,https://www.openstreetmap.org/node/1478834689,Gjøvik Vandrerhjem Hovdetun,3.9,+hostel:type=pilgrim
Gudbrandsdalsleden,Granmo Camping,Overnatting | Campingplass | Rom og hytter | Teltplass,62.5478528,9.6287959,"Granmo Camping, 7340 Oppdal",matched,way/202582264,https://www.openstreetmap.org/way/202582264,Granmo Camping,53.4,osm:tents=yes; tourism:chalet->camp_site
Gudbrandsdalsleden,Gumdal gård,Overnatting | Pilegrimsherberge,63.1764144,9.7727062,"Monsetjårvegen 174, 7327 Svorkmo",matched,node/12881707301,https://www.openstreetmap.org/node/12881707301,Gumdal Farm,11.1,+hostel:type=pilgrim; name:Gumdal gård->Gumdal Farm
Gudbrandsdalsleden,Guriberget,Gapahuk,62.6249186,9.7557765,,matched,node/664773392,https://www.openstreetmap.org/node/664773392,Guriberget,4.6,
Gudbrandsdalsleden,Hageseter Turisthytte,Overnatting | Hotell | Vandrerhjem | Rom og hytter | Teltplass,62.1957542,9.5476985,"Gautåsetervegen 84, 2660 Dombås",matched,node/1356457924,https://www.openstreetmap.org/node/1356457924,Hageseter,33.8,name:Hageseter Turisthytte->Hageseter; tourism:hostel->alpine_hut
Gudbrandsdalsleden,Heimtun Camping. Hytter og teltplass,Overnatting | Rom og hytter | Teltplass,61.5504400,10.0484400,,matched,node/3663315296,https://www.openstreetmap.org/node/3663315296,Heimtun Camping,11.7,name:Heimtun Camping. Hytter og teltplass->Heimtun Camping; osm:tents=yes; tourism:chalet->camp_site
Gudbrandsdalsleden,Hekshusstranda Camping,Overnatting | Campingplass | Rom og hytter | Teltplass | Rasteplass,60.7225580,10.8500830,"Brennerivegen 43, 2849 Kapp",matched,way/70034203,https://www.openstreetmap.org/way/70034203,Hekshusstranda Camping,32.4,tourism:chalet->camp_site
Gudbrandsdalsleden,Hjerkinn Fjellstue & Fjellridning,Overnatting | Hotell | Rom og hytter | Teltplass,62.2221464,9.5765378,"Kvitdalsvegen 12, 2661 Hjerkinn",matched,node/1873483825,https://www.openstreetmap.org/node/1873483825,Hjerkinn fjellstue,29.9,name:Hjerkinn Fjellstue & Fjellridning->Hjerkinn fjellstue; tourism:chalet->alpine_hut
Gudbrandsdalsleden,Hoff Gjestgiveri,Overnatting | Pilegrimsherberge,60.6826990,10.8429160,"Totenvegen 105, 2850 Lena",matched,way/928625231,https://www.openstreetmap.org/way/928625231,Hoff Gjestgiveri,12.4,+hostel:type=pilgrim; tourism:hostel->guest_house
Gudbrandsdalsleden,Hæverstølen,Overnatting | Pilegrimsherberge | Rom og hytter,62.7431515,9.9542422,"Gamle Kongevei 2494, 7397 Rennebu",matched,way/945271281,https://www.openstreetmap.org/way/945271281,Hæverstølen,12.8,+hostel:type=pilgrim; osm:tents=yes; tourism:hostel->guest_house
Gudbrandsdalsleden,IMI Stølen,Overnatting | Vandrerhjem | Rom og hytter | Teltplass,62.6117061,9.7374596,"Nedre Stølsvegen 36, 7340 Oppdal",matched,node/6817570379,https://www.openstreetmap.org/node/6817570379,IMI Stølen,7.4,tourism:hostel->guest_house
Gudbrandsdalsleden,Jomfruburet & Drengstua,Overnatting | Hotell | Pilegrimsherberge | Rom og hytter,60.3656170,10.5367932,"Granavollen 1, 2750 Gran",matched,node/1902970232,https://www.openstreetmap.org/node/1902970232,Sanner Hotell,88.8,+hostel:type=pilgrim; name:Jomfruburet & Drengstua->Sanner Hotell; tourism:hostel->hotel
